id,en,ru
building_new.floor_2.elevator_10,10,10
building_new.floor_2.stair_13,13,13
building_new.floor_2.room_redHall_n,redHall,redHаll
building_new.floor_3.stair_0,0,0
building_new.floor_3.room_3305_n,3305,3305
building_new.floor_3.room_3304_n,3304,3304
building_new.floor_3.room_3307_n,3307,3307
building_new.floor_3.room_3310_n,3310,3310
building_new.floor_3.room_3312_n,3312,3312
building_new.floor_3.stair_1,1,1
building_new.floor_3.elevator_0,0,0
building_new.floor_3.toilet_0,0,0
building_new.floor_3.room_3313_n,3313,3313
building_new.floor_3.room_3314_n,3314,3314
building_new.floor_3.room_3353_n,3353,3353
building_new.floor_3.room_3315_n,3315,3315
building_new.floor_3.room_3351_n,3351,3351
building_new.floor_3.room_3316_n,3316,3316
building_new.floor_3.room_3317_n,3317,3317
building_new.floor_3.stair_2,2,2
building_new.floor_3.disabledToilet_0,0,0
building_new.floor_3.room_3318_n,3318,3318
building_new.floor_3.room_3319_n,3319,3319
building_new.floor_3.room_3343_n,3343,3343
building_new.floor_3.room_3342_n,3342,3342
building_new.floor_3.stair_3,3,3
building_new.floor_3.toilet_1,1,1
building_new.floor_3.elevator_1,1,1
building_new.floor_3.room_3341_n,3341,3341
building_new.floor_3.room_3340_n,3340,3340
building_new.floor_3.room_3339_n,3339,3339
building_new.floor_3.room_3338_n,3338,3338
building_new.floor_3.room_3337_n,3337,3337
building_new.floor_3.elevator_2,2,2
building_new.floor_3.diner_0,0,0
building_new.floor_3.room_3259_n,3259,3259
building_new.floor_3.room_3260_n,3260,3260
building_new.floor_3.room_3261_n,3261,3261
building_new.floor_3.stair_4,4,4
building_new.floor_3.room_3258_n,3258,3258
building_new.floor_3.room_3256_n,3256,3256
building_new.floor_3.room_3255_n,3255,3255
building_new.floor_3.room_3262_n,3262,3262
building_new.floor_3.room_3263_n,3263,3263
building_new.floor_3.room_3264_n,3264,3264
building_new.floor_3.room_3265_n,3265,3265
building_new.floor_3.room_3253_n,3253,3253
building_new.floor_3.room_3252_n,3252,3252
building_new.floor_3.room_3251_n,3251,3251
building_new.floor_3.room_3266_n,3266,3266
building_new.floor_3.stair_5,5,5
building_new.floor_3.room_3250_n,3250,3250
building_new.floor_3.room_3249_n,3249,3249
building_new.floor_3.toilet_2,2,2
building_new.floor_3.disabledToilet_1,1,1
building_new.floor_3.room_3268_n,3268,3268
building_new.floor_3.room_3269_n,3269,3269
building_new.floor_3.room_3270_n,3270,3270
building_new.floor_3.room_3271_n,3271,3271
building_new.floor_3.room_3272_n,3272,3272
building_new.floor_3.room_3273_n,3273,3273
building_new.floor_3.room_3239_n,3239,3239
building_new.floor_3.room_3238_n,3238,3238
building_new.floor_3.room_3237_n,3237,3237
building_new.floor_3.stair_6,6,6
building_new.floor_3.elevator_3,3,3
building_new.floor_3.room_3234_n,3234,3234
building_new.floor_3.room_3233_n,3233,3233
building_new.floor_3.room_3203_n,3203,3203
building_new.floor_3.room_3204_n,3204,3204
building_new.floor_3.room_3205_n,3205,3205
building_new.floor_3.room_3206_n,3206,3206
building_new.floor_3.toilet_3,3,3
building_new.floor_3.room_3231_n,3231,3231
building_new.floor_3.room_3232_n,3232,3232
building_new.floor_3.room_3207_n,3207,3207
building_new.floor_3.stair_7,7,7
building_new.floor_3.room_3210_n,3210,3210
building_new.floor_3.room_3223_n,3223,3223
building_new.floor_3.room_3211_n,3211,3211
building_new.floor_3.room_3222_n,3222,3222
building_new.floor_3.room_3220_n,3220,3220
building_new.floor_3.room_3212_n,3212,3212
building_new.floor_3.room_3213_n,3213,3213
building_new.floor_3.room_3214_n,3214,3214
building_new.floor_3.stair_8,8,8
building_new.floor_3.room_3215_n,3215,3215
building_new.floor_3.room_3218_n,3218,3218
building_new.floor_3.room_3216_n,3216,3216
building_new.floor_3.room_3217_n,3217,3217
building_new.floor_3.diner_1,1,1
building_new.floor_3.room_3140_n,3140,3140
building_new.floor_3.room_3141_n,3141,3141
building_new.floor_3.elevator_4,4,4
building_new.floor_3.toilet_4,4,4
building_new.floor_3.room_3142_n,3142,3142
building_new.floor_3.stair_9,9,9
building_new.floor_3.elevator_5,5,5
building_new.floor_3.room_3143_n,3143,3143
building_new.floor_3.room_3144_n,3144,3144
building_new.floor_3.room_3123_n,3123,3123
building_new.floor_3.disabledToilet_2,2,2
building_new.floor_3.room_3122_n,3122,3122
building_new.floor_3.stair_10,10,10
building_new.floor_3.room_3120_n,3120,3120
building_new.floor_3.room_3119_n,3119,3119
building_new.floor_3.room_3118_n,3118,3118
building_new.floor_3.room_3117_n,3117,3117
building_new.floor_3.room_3151_n,3151,3151
building_new.floor_3.room_3153_n,3153,3153
building_new.floor_3.toilet_5,5,5
building_new.floor_3.room_3116_n,3116,3116
building_new.floor_3.room_3115_n,3115,3115
building_new.floor_3.room_3114_n,3114,3114
building_new.floor_3.elevator_6,6,6
building_new.floor_3.room_3113_n,3113,3113
building_new.floor_3.stair_11,11,11
building_new.floor_3.room_3110_n,3110,3110
building_new.floor_3.room_3107_n,3107,3107
building_new.floor_3.room_3103_n,3103,3103
building_new.floor_3.room_3105_n,3105,3105
building_new.floor_3.stair_12,12,12
building_new.floor_3.room_325_r,325,325
building_new.floor_3.room_306_r,306,306
building_new.floor_3.room_302_r,302,302
building_new.floor_3.elevator_7,7,7
building_new.floor_3.elevator_8,8,8
building_new.floor_3.toilet_6,6,6
building_new.floor_3.toilet_7,7,7
building_new.floor_3.room_310_r,310,310
building_new.floor_3.room_311_r,311,311
building_new.floor_3.room_313_r,313,313
building_new.floor_3.room_314_r,314,314
building_new.floor_3.room_316_r,316,316
building_new.floor_3.room_329_r,329,329
building_new.floor_3.elevator_9,9,9
building_new.floor_3.elevator_10,10,10
building_new.floor_3.stair_13,13,13
building_new.floor_3.room_321_r,321,321
building_new.floor_3.room_318_r,318,318
building_new.floor_3.room_317_r,317,317
building_new.floor_3.room_322_r,322,322
building_new.floor_4.room_4340_n,4340,4340
building_new.floor_4.room_4316_n,4316,4316
building_new.floor_4.room_4337_n,4337,4337
building_new.floor_4.toilet_0,0,0
building_new.floor_4.room_4336_n,4336,4336
building_new.floor_4.room_4335_n,4335,4335
building_new.floor_4.room_4334_n,4334,4334
building_new.floor_4.diner_0,0,0
building_new.floor_4.room_4339_n,4339,4339
building_new.floor_4.room_4338_n,4338,4338
building_new.floor_4.room_4317_n,4317,4317
building_new.floor_4.disabledToilet_0,0,0
building_new.floor_4.room_4314_n,4314,4314
building_new.floor_4.room_4313_n,4313,4313
building_new.floor_4.room_4312_n,4312,4312
building_new.floor_4.room_4349_n,4349,4349
building_new.floor_4.room_4311_n,4311,4311
building_new.floor_4.toilet_1,1,1
building_new.floor_4.elevator_0,0,0
building_new.floor_4.elevator_1,1,1
building_new.floor_4.stair_0,0,0
building_new.floor_4.room_4257_n,4257,4257
building_new.floor_4.room_4258_n,4258,4258
building_new.floor_4.room_4259_n,4259,4259
building_new.floor_4.room_4260_n,4260,4260
building_new.floor_4.room_4254_n,4254,4254
building_new.floor_4.room_4256_n,4256,4256
building_new.floor_4.room_4347_n,4347,4347
building_new.floor_4.room_4253_n,4253,4253
building_new.floor_4.room_4251_n,4251,4251
building_new.floor_4.room_4250_n,4250,4250
building_new.floor_4.room_4249_n,4249,4249
building_new.floor_4.room_4248_n,4248,4248
building_new.floor_4.room_4261_n,4261,4261
building_new.floor_4.room_4262_n,4262,4262
building_new.floor_4.room_4263_n,4263,4263
building_new.floor_4.room_4264_n,4264,4264
building_new.floor_4.stair_1,1,1
building_new.floor_4.stair_2,2,2
building_new.floor_4.stair_3,3,3
building_new.floor_4.elevator_2,2,2
building_new.floor_4.stair_4,4,4
building_new.floor_4.room_4307_n,4307,4307
building_new.floor_4.room_4310_n,4310,4310
building_new.floor_4.room_4308_n,4308,4308
building_new.floor_4.room_4309_n,4309,4309
building_new.floor_4.stair_5,5,5
building_new.floor_4.toilet_2,2,2
building_new.floor_4.room_4238_n,4238,4238
building_new.floor_4.room_4237_n,4237,4237
building_new.floor_4.room_4236_n,4236,4236
building_new.floor_4.room_4235_n,4235,4235
building_new.floor_4.stair_6,6,6
building_new.floor_4.room_4266_n,4266,4266
building_new.floor_4.room_4267_n,4267,4267
building_new.floor_4.room_4268_n,4268,4268
building_new.floor_4.room_4269_n,4269,4269
building_new.floor_4.elevator_3,3,3
building_new.floor_4.room_4232_n,4232,4232
building_new.floor_4.room_4231_n,4231,4231
building_new.floor_4.room_4203_n,4203,4203
building_new.floor_4.room_4204_n,4204,4204
building_new.floor_4.room_4230_n,4230,4230
building_new.floor_4.room_4229_n,4229,4229
building_new.floor_4.room_4205_n,4205,4205
